,id,text,start_time
0,1464625057913786371,"When this is all revealed to be the #WorldDepopulation that it is, I want EVERYONE that was involved in pushing it to be held to the highest account of the law.

'I was only following orders' will NOT be a viable excuse!

#COVID19 #Vaccine #Omicron 

https://t.co/bVzUWLxAHg",2021-11-27T12:00:00Z
1,1464625043162419202,"@BBCPolitics @ChrisMasonBBC So you have Sajid Javid on the man least qualified to be Health Secretary.....no health qualifications a a bit of a banker!
#covid #Omicron",2021-11-27T12:00:00Z
2,1464625042621448195,#CancelTerm1 we r demanding for Cancel Term 1 Exam from last 2 months but anyone wasn't listening but now u have to listen bcs our lives matter. #MakeTerm1Hybird #Omicron #coronavirus @narendramodi @PMOIndia  lhcdyqhwjbnwowfwjhwgwjnw,2021-11-27T12:00:00Z
3,1464625031632375816,"Wondering How To Make Your LOSE WEIGHT Rock? Click This Link!👇
https://t.co/5jtqmKrI3u
#women #shibainu #HaveASafeFlightARMY #BlackFriday #NuVariant #Omicron  #healthylifestyle #healthy #Health #Weightloss #Weight #Eating #Fasting #Calorie #loseweight #dietjp #nutritiontips https://t.co/WI8zxWVxQq",2021-11-27T12:00:00Z
4,1464625021809270792,"How did 10% of passengers to Holland from South Africa arrive with Covid when they all had NEGATIVE tests? Alarm as suspected cases of #Omicron  are reported in Germany, Australia and Czech Republic alongside confirmed UK and Belgium cases https://t.co/E2bKHH98Ki",2021-11-27T12:00:00Z
5,1464625015081558022,#CancelTerm1 we r demanding for Cancel Term 1 Exam from last 2 months but anyone wasn't listening but now u have to listen bcs our lives matter. #MakeTerm1Hybird #Omicron #coronavirus @narendramodi @PMOIndia  lhcdyqhwjbhwkhwowkgwkwnwj,2021-11-27T12:00:00Z
6,1464625001127202822,Trump African ban was because he hated shit hole countries.Biden and the rest of the world restricted travel from Africa due to the new #Omicron variant. The psycho right are too dumb to know the difference &amp; hate anyone trying to curb the spread of #covidvariant stfu forever https://t.co/Z9B8226c41 https://t.co/qNMcabhYp5,2021-11-27T12:00:00Z
7,1464624994948825096,An #OMICRON thread. https://t.co/ee5GKoEJfA,2021-11-27T12:00:00Z
8,1464624993413709831,#Omicron | 1 case confirmed in #Belgium. #covidvariant #Corona,2021-11-27T12:00:00Z
9,1464624992067354627,"#doge season is coming. 100x moon for #DartInu
- cmc, gecko, cex listing soon
- low mc, lock 1 year
- strong roadmap
- #DART Play to Earn
- Only 1 day old 
0x49152dd96be5a710facf9a8ab7de4343a49186d5
#Meta #dogecoin #Omicron $kiba #babydoge $elon $sand #BSCGems #BNB",2021-11-27T12:00:00Z
10,1464624991299903501,#Omicron | 2 Cases confirmed by authorities in Hong Kong. Both had traveled to South Africa. #covidvariant #Corona #Covid_19,2021-11-27T12:00:00Z
11,1464624989693485061,"#Omicron | 61 KLM passagers tested positive to #COVID19. Further analysis needed to confirmed it is Omicron. #covidvariant
#Covid_19",2021-11-27T12:00:00Z
12,1464624987839549442,#Omicron | 2 Cases confirmed by the Health Minister in #UK. The infected had traveled to South Africa https://t.co/D8CEjzbBgI,2021-11-27T12:00:00Z
13,1464624984802869251,#CancelTerm1 we r demanding for Cancel Term 1 Exam from last 2 months but anyone wasn't listening but now u have to listen bcs our lives matter. #MakeTerm1Hybird #Omicron #coronavirus @narendramodi @PMOIndia  lhcdyqhwjbjeowyuwyw571918169,2021-11-27T12:00:00Z
14,1464624982663835651,All of a sudden this doesnt sound like such a terrible outcome. #Omicron #covidvariant https://t.co/KBgR7ofEgz,2021-11-27T12:00:00Z
15,1464624972895330307,"@closerfr A First Wave-The Emergence Shelby/Simon are in the heart of the battle Traveling the world saving lives Will their journey find solutions will they find themselves/each other
https://t.co/7AHELPzbnY
https://t.co/yhnVF4omVb #afirstwave #asecondwave #athirdwave #Covid_19 #Omicron https://t.co/6FijgvVfjD",2021-11-27T12:00:00Z
16,1464624965341356033,@paulgazelka @maxnesterak @ParkNicollet for a vaccine shot! #Omicron,2021-11-27T12:00:00Z
17,1464624961486790661,Please report this and stop the scaremongering  @rtenews @VirginMediaNews #Omicron https://t.co/5u32n5CD09,2021-11-27T12:00:00Z
18,1464624960576663559,It's probably been here for weeks. Panic will achieve nothing. Just #getvaccinated. That's all that we can usefully do. #Omicron https://t.co/JL6QcRUWFe,2021-11-27T12:00:00Z
19,1464624954662703112,#CancelTerm1 we r demanding for Cancel Term 1 Exam from last 2 months but anyone wasn't listening but now u have to listen bcs our lives matter. #MakeTerm1Hybird #Omicron #coronavirus @narendramodi @PMOIndia  lhcdyqhwjbuwktwkwfgqcdahzdtqjwjb,2021-11-27T12:00:00Z
20,1464624952615731201,"#Maharashtra Incoming international travelers are required to provide a self-declaration letter stating their travel information for the last fortnight: BMC Commissioner
#Mumbai #Omicron #covidvariant #coronavirus",2021-11-27T12:00:00Z
21,1464624935607934976,"@itvnews QuickQuestion: if we hear the word 'inhumane' does that mean we're playing a game of opposites? #Omicron #BorisJohnson 
https://t.co/6d0NCMDbD5",2021-11-27T12:00:00Z
22,1464624935410622464,"Hello give. M chance 
#Bitcoin #omicron

https://t.co/CYaGrCxzxT",2021-11-27T12:00:00Z
23,1464624933011656707,Handy. #B11529 / #Omicron worldwide tracker. https://t.co/3kjk9E3udr,2021-11-27T12:00:00Z
24,1464624931887452164,"CORONAVIRUS | #OMICRON EXPLAINED

Four things to know about the new, apparently more contagious COVID-19 virus variant first found in southern Africa.
https://t.co/YVyz3jnhFN",2021-11-27T12:00:00Z
25,1464624923121442835,#CancelTerm1 we r demanding for Cancel Term 1 Exam from last 2 months but anyone wasn't listening but now u have to listen bcs our lives matter. #MakeTerm1Hybird #Omicron #coronavirus @narendramodi @PMOIndia  lhcdyqhwjbuekhwiwvjwbwgwjwhj,2021-11-27T12:00:00Z
26,1464624909833969675,"🚨Saturday presser alert🚨 
All the latest on #Omicron  - 5pm on @BBCOne #CoronavirusUpdates https://t.co/dZ3Tbg0jTg",2021-11-27T12:00:00Z
27,1464624887180546059,#CancelTerm1 we r demanding for Cancel Term 1 Exam from last 2 months but anyone wasn't listening but now u have to listen bcs our lives matter. #MakeTerm1Hybird #Omicron #coronavirus @narendramodi @PMOIndia  lhcdyqhwjbjwowhjwcwkkw9whekkwo,2021-11-27T12:00:00Z
28,1464624878804422657,"https://t.co/6zGwDt0LyW
I hate that monster #FauciDogTorturer #FauciLied #Omicron",2021-11-27T12:00:00Z
29,1464624878347190275,"#doge season is coming. 100x moon for #DartInu
- cmc, gecko, cex listing soon
- low mc, lock 1 year
- strong roadmap
- #DART Play to Earn
- Only 1 day old 
0x49152dd96be5a710facf9a8ab7de4343a49186d5
#Meta #dogecoin #Omicron $kiba #babydoge $elon $sand #BSCGems #BNB ￼",2021-11-27T12:00:00Z
30,1464624862073286666,"South Africa Vs Netherlands ODI Series Called Off Due To New Variant Of Coronavirus Omicron

#coronavirus #Omicron #SAvsNED #COVID19

https://t.co/uKYv0ygwJH",2021-11-27T12:00:00Z
31,1464624855895130117,#CancelTerm1 we r demanding for Cancel Term 1 Exam from last 2 months but anyone wasn't listening but now u have to listen bcs our lives matter. #MakeTerm1Hybird #Omicron #coronavirus @narendramodi @PMOIndia  lhcdyqhwjbjwoywiwifwkwgkwwn,2021-11-27T12:00:00Z
32,1464624847758233603,"#Omicron sampled as early 9Nov.
Cases already in southern Africa, Belgium, Hong Kong, UK(as of 1700 CET!) 
This means it is already many more places.
Shutdowns &amp; border closures won’t work now.
What will?
Good screening at borders, much wider testing, 
#Masks 
#vaxtheworld",2021-11-27T12:00:00Z
33,1464624847447896067,"Why waiving the Covid-19 vaccine patents would be moronic 

https://t.co/3snIWAElkd

#covid19 #omicron #economist #vaccinepatents #vaccines",2021-11-27T12:00:00Z
34,1464624826061139975,#CancelTerm1 we r demanding for Cancel Term 1 Exam from last 2 months but anyone wasn't listening but now u have to listen bcs our lives matter. #MakeTerm1Hybird #Omicron #coronavirus @narendramodi @PMOIndia  lhcdyqhwjb hmm woow to wjwhkn,2021-11-27T12:00:00Z
35,1464624825532502024,"India Tour of South Africa: BCCI Should Consult Government Before Sending Team To SA, Says Anurag Thakur Amid Concerns Over New COVID-19 Variant Omicron
#Omicron #INDvsSA #BCCI 
https://t.co/46g7SxXpyU",2021-11-27T12:00:00Z
36,1464624823099928591,Do you think #omicron is the next step of the #hoax?,2021-11-27T12:00:00Z
