,id,text,start_time
0,1466135005315411968,Check out my classroom on @DonorsChoose! I'd love your help to bring my project to life:  https://t.co/gW5R9XcODc  #OmicronVarient #Omicron #ProBowlVote #AtGrandmasHouse #teachertwitter #donors #DonorsChoose #teacherlife  #TeacherTuesday #donate #MatchDay #GivingTuesday,2021-12-01T16:00:00Z
1,1466135000881917955,"UPDATE: First U.S. case of omicron variant found in California 

The #omicron strain was identified by @UCSF and confirmed by @CDCgov.

The individual was an SF resident who returned from South Africa on Nov. 22. 
https://t.co/Nu1txO6RYL",2021-12-01T16:00:00Z
2,1466134913162350596,"But really? Duh. We knew #Omicron was likely already here. By the time we detect them, they are widespread. 

#OmicronVariant https://t.co/fMVLMFjKst",2021-12-01T16:00:00Z
3,1466134907210518528,"#Omicron is officially here and no one is surprised.

As of yesterday: 
- 20 countries had documented cases 
- localized travel bans were not going to work 
- unique mutations on the spike protein which could make it more contagious

Stay vigilant.
https://t.co/H9hrMNZx0x",2021-12-01T16:00:00Z
4,1466134902974394372,"*First USA Omicron Variant case recorded*
#COVID19
#OmicronVarient
#Omicron https://t.co/gV1TQFoe1l",2021-12-01T16:00:00Z
5,1466134868555976709,"@NBCNewYork Welcome to America, #omicron",2021-12-01T16:00:00Z
6,1466134847756328968,Handwashing is Important - California confirms nation’s first Omicron variant case  During the Coronavirus (COVID19) pandemic keeping hands clean . Washing hands with soap and water is the best way to get rid of germs in most situations. https://t.co/XHSRvuSGke #Omicron #Varient https://t.co/EQIHYzwCFU,2021-12-01T16:00:00Z
7,1466134826432487431,"Moderna Inc could have a COVID-19 booster shot targeting the Omicron variant tested and ready to file for US authorization as soon as March, the company's president said on Wednesday.

#COVID19 | #Omicron | #vaccine | #booster
https://t.co/cOFyLMpoQU",2021-12-01T16:00:00Z
8,1466134779485507587,Daily US Covid Deaths by County For RI   2021-11-29:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #omicron #globalhealth https://t.co/HE88GWaIvn,2021-12-01T16:00:00Z
9,1466134778910961664,Im confused… how do they knows it’s the #Omicron if they don’t have a test for it.  #icallbullshit,2021-12-01T16:00:00Z
10,1466134752159744000,#reinelilithaudreyasetstgraal #macron #vatican #divison #rothschild #opusdei #prieuredesion #mondialisation #gouvernements #etats #Presidents #monde #lafindumonde #lafleuredelys #europe #Unioneuropéenne #Apocalyspe #Omicron #lacovid19👑⚕️🧬🧪💉🗽🗝️⚗️🧫🕯️lilithAsaintgraal https://t.co/tgUSxGClsD,2021-12-01T16:00:00Z
11,1466134745667055622,"Concerning update from @trvrb: As more Epi data accrues, some initial assumptions on #Omicron  transmissibility have gone down -- but remaining view is still bad and it becomes firmer with more data. Imputing here Rt of about 2.0, considerably higher than the observed Rt of delta https://t.co/DwwfRyEzbY",2021-12-01T16:00:00Z
