,id,text,start_time
0,1466497287518142476,"Shit. 
#omicron (hardly a single tag spelt right!) https://t.co/7XUKNw4tz7",2021-12-02T16:00:00Z
1,1466497262029352973,https://t.co/hvi02P5Ihv's health body sees threefold higher risk of reinfection from #Omicron  https://t.co/SErKA13bEd,2021-12-02T16:00:00Z
2,1466497218010042368,Biden needs to stop saying we beat Delta. Delta is causing a 9/11 equivalent loss of life every other day in this country. This rhetoric is extremely dangerous and will lead to more careless behavior. #COVID19 #Omicron #OMG #vaccination #Masks,2021-12-02T16:00:00Z
3,1466497212754669572,"Three people in Romania may be infected with #Omicron, the new of #COVID19 variant, after having tested positive upon being flown back from South Africa. All three people, who travelled by the same plane, are in quarantine and under constant medical monitoring. https://t.co/LncA3reYXq",2021-12-02T16:00:00Z
4,1466497212540768261,Adult Male With #Omicron Variant Attended #NewYork Anime Convention  https://t.co/QfiUaq6RL0,2021-12-02T16:00:00Z
5,1466497134937657347,"Increased risk of #SARS_CoV_2 #Reinfection associated with emergence of the #Omicron variant in #SouthAfrica
Not peered!
 https://t.co/Nkr9wBDgSJ https://t.co/zsSgE9cmLm",2021-12-02T16:00:00Z
6,1466497106106060813,"#Southafrica is on fire. Which story are you liking and following?

Amanda #macg Jub Jub deruyter Soweto Eskom #Omicron #covid19",2021-12-02T16:00:00Z
7,1466497092902391818,"NEW EPISODE #Trump #Biden #omicron #covid #LeBronJames @myndkrime @sidlone @MrPusswack @brysports @mmoorewriter @ekasnia @Carlos_Ceasar23 @SouthJewishWman @buckeyemomof2 @JUKNC @cackalacky1968 @laserpowered @SandonJacobs @ov2minds @myzoeisms 
https://t.co/qqAFnHge4c",2021-12-02T16:00:00Z
8,1466497075135365123,"Per @CBP, illegals apprehend from #SouthAfrica along the entire Southern Border.

2020 - 6
2019 - 4
2018 - 4
2017 - 5
2016 - 0

So stop using #Omicron for fear politics to benefit your agenda @GovAbbott
#AbbottFailedTexas https://t.co/saWHPnN8nU",2021-12-02T16:00:00Z
9,1466497070139912197,"Minnesota man contracts COVID variant omicron, attended NYC anime convention at Javits Center https://t.co/eHvaNukbLR #javitscenter #javits #nyc #NewYorkCity #Manhattan #cdc #nih #omicron #OmicronVariant #COVID19 #biden #BidenAdministration",2021-12-02T16:00:00Z
10,1466497064490217475,"Bad #COVID -19 news:
#Omicron has 'substantial' ability to evade immunity from previous coronavirus infection | World News | Sky News https://t.co/uuOmwZPrhM",2021-12-02T16:00:00Z
11,1466497025038372866,"Epidemiological update: #Omicron )VOC) – data as of 2 December 2021 https://t.co/MVnD3vKC8e. *get some perspective ppl!!  “Overall, 390 confirmed cases have been reported in 31 countries.” @cfax1070 @talkRADIO @EvanLSolomon @CBCNews @GlobalBC fear mongering",2021-12-02T16:00:00Z
12,1466496998006161411,7 Day Covid Growth in Cases per 1K Population by County For KS   2021-11-29:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #omicron #globalhealth https://t.co/HpyY1CNbjX,2021-12-02T16:00:00Z
13,1466496984148156419,"#Omicron could pose 'significant' threat to global #economy, Yellen says
 https://t.co/VbpnPqY3G1",2021-12-02T16:00:00Z
14,1466496924626956291,Who’s gonna be the first @NFL QB with the #Omicron audible,2021-12-02T16:00:00Z
15,1466496888153194501,COVID-19: #Omicron has 'substantial' ability to evade immunity from previous coronavirus infection - Sky News https://t.co/HZ5pXDFDGw,2021-12-02T16:00:00Z
16,1466496789914128388,"The #Israeli Ministry of Health has reported a third case of the #COVID19 variant #Omicron in the country. This is an Israeli vaccinated with three #Pfizer shots, who recently returned from #England, the ministry noted.
(Representational Picture) https://t.co/LomYQM1Iuj",2021-12-02T16:00:00Z
17,1466496670288523269,Ontarians aged 50+ can soon book COVID boosters as 5th Ontario case of #Omicron variant is found in Durham Region. Story by ⁦@CdnPressOntario⁩   https://t.co/Ah0o2T79qW,2021-12-02T16:00:00Z
