,id,text,start_time,withheld
0,1465530985731215360,"When asked what he thought of the many mutations on #omicron, @_nference cofounder Dr. Venky Soundararajan replied: 
“I’m less concerned about the fact that these mutations exist and I’m more concerned about the fact that we know very little about many of them” 
#knowledgeispower",2021-11-30T00:00:00Z,
1,1465530984372191233,When is the new #Omicron NFT coming out ?,2021-11-30T00:00:00Z,
2,1465530947692990465,"Sunset from the dream city, Mumbai ☀🎆❤☀❤🎆
.
#vivo #sunset #mumbai #NoWayHome #LISA #DOGEorTesla #Omicron #CyberMonday #PTD_ON_STAGE_LA_Day2 #SpiderManNowWayHome #Wizkid03 #GOAT https://t.co/vy5nkV1QFO",2021-11-30T00:00:00Z,
3,1465530938599743499,It's #Omicron not #AmirKhan ...🤕 https://t.co/JpWSRkwz1h,2021-11-30T00:00:00Z,
4,1465530927585632261,"@tedcruz Covid is over! They create false variants to abuse their power!
#Omicron 
#Moronic https://t.co/dF4ASlb8rq",2021-11-30T00:00:00Z,
5,1465530877111373830,Can you really blame countries that shut their borders to SA?  This is not to punnish us but to protect their own citizens and economy.  Currently little is known about #Omnikron. If you really have the wellbeing of citizens at hart you will shut your borders. #COVID19 #Omicron,2021-11-30T00:00:00Z,
6,1465530830600564746,"https://t.co/mBK2lEC7H4

#PANDEMIC PTSD-- Dr. Fauci's ""Zero Dark Thirty Moment""-- PAVLOV'S LAB JOURNAL  &amp; the Foucault #Omicron panopticon.. https://t.co/3pG1Gp4ghu",2021-11-30T00:00:00Z,
7,1465530799227162627,"Last Day of regristration 👉 https://t.co/0yvGsAnD9m

Follow @DejaveNews @dejaveswap 

@cctip_com airdrop 0.001 DJV 100

#DJV #VEX #BNKRI #SDJV #RDJV #Binance #NFTs #cryptocurrecy #NFTGiveaway #Blockchain #Omicron  #GOAT #GFvip  #BlockchainGaming #NFTGiveaways #nftcollectors https://t.co/eV7TkHnBGk",2021-11-30T00:00:00Z,
8,1465530756361457675,"WARNING

I've warned you 😂

Stay safe. 

#Warning #Health #Corona #Omicron #NewVariant #Danger #News #Media #SocialMedia #Fun #Laugh #Live #Coach

#CommonSenseCoach https://t.co/HZKjkbqSZK",2021-11-30T00:00:00Z,
9,1465530737759858691,"My thoughts, as well. #Omicron  might just be the first big step to #COVID-19 becoming #endemic. I’m surprised we’re not hearing more about this from scientists or the media. https://t.co/ITpfOkIyG9",2021-11-30T00:00:00Z,
10,1465530719049072640,#Nowplaying Angel - Shaggy  - Stream here-&gt; https://t.co/YiXxSepm8x - Non Stop Hits from the 70s to Today #Rideshare #Radio #Hits #Uber #RideshareRadio #Omicron #WWERaw #SEAvsWAS #MCCelebrity #FotoEscolarxBoric,2021-11-30T00:00:00Z,
11,1465530689609158665,I'm so excited to be entering the #Omicron phase of 2 weeks to #StopTheSpread,2021-11-30T00:00:00Z,
12,1465530647124926464,#Omicron Alert: Revised guidelines for international arrivals - Regarding. https://t.co/BB1x3MuKKH,2021-11-30T00:00:00Z,
13,1465530630125408256,"Heard ""OmiCORN"" repeatedly today 🌽🤦‍♀️ 
And we missed getting to Pi by Thanksgiving - 
I imagine a ""Pi variant"" would've affected pie sales in the U.S. given our nation's grasp of science 
https://t.co/sFApD7O7s6 #Omicron #OmicronVariant #saladdressing",2021-11-30T00:00:00Z,
14,1465530622529654784,#LatAm and the #Omicron #Variant: Initial Thoughts https://t.co/hh7YykhyTO,2021-11-30T00:00:00Z,
15,1465530615730634754,"*New variant lands in Australia that seems to evade vaccine immunity....
Politicians: ""Okay everyone get vaccinated!""
#logic?
#auspol 
#AustraliaHasFallen 
#COVID19 
#Omicron 
#OmicronVariant 
#NoVaccinePassportsAnywhere 
#NoVaccinePassports 
#NoVaccineMandate 
#NoVaccineMandates https://t.co/xA5JUB99FX",2021-11-30T00:00:00Z,
16,1465530610185764868,"Union Health Secretary Rajesh Bhushan will hold a review meeting with States on the Omicron variant of COVID19 today.
#Omicron",2021-11-30T00:00:00Z,
17,1465530604372447233,"Passenger from South Africa tests positive; Maharashtra sees spurt in vaccination amid Omicron fears.
#Omicron #OmicronVariant #COVID19 #India #coronavirus",2021-11-30T00:00:00Z,
18,1465530593865715719,"Omega (Omicron) Updates: India And Spain Reports Cases Of Omega Variant Which Is Now Confirmed In 15 Countries Out of The African Continent.
https://t.co/ML0Y8qm7EX
#Omicron #OmicronVariant #BreakingNews #news #USA #America #UK #Germany #Thailand #Trending #health #Canada",2021-11-30T00:00:00Z,
19,1465530592024412161,"@AnnastaciaMP *New variant lands in Australia that seems to evade vaccine immunity....
Politicians: ""Okay everyone get vaccinated!""
#logic?
#auspol 
#AustraliaHasFallen 
#COVID19 
#Omicron 
#OmicronVariant 
#NoVaccinePassportsAnywhere 
#NoVaccinePassports 
#NoVaccineMandate 
#NoVaccineMandates",2021-11-30T00:00:00Z,
20,1465530576933306368,#Omicron – Will the #ASX crash? Find out here &gt; https://t.co/pOEW3AfoXU https://t.co/CoBc2j0pLe,2021-11-30T00:00:00Z,
21,1465530525771202564,"Army-manned COVID vaccination centres operative today

#COVID19 #coronavirus #lka #SriLanka @Sri_Lanka_Army #Omicron #Omikron
 https://t.co/OMu5LcC4qY",2021-11-30T00:00:00Z,
22,1465530509925175297,Pablo Escobar and El Chapo have just been dropped as the biggest Drug Lords in history... #CovidVaccines #Omicron https://t.co/bNyDCtcgFk,2021-11-30T00:00:00Z,
23,1465530463343185922,"Indian Army organised medical,  dental camp 
J&amp;k  #CyberMonday #NoWayHome #LISA #Omicron #JUNGKOOK
#NZvsIND #NotmeSeries 
#Kashmir @JandKTourism 
Good work done by Indian army. https://t.co/uPVG4dOqC1",2021-11-30T00:00:00Z,
