,id,text,start_time
0,1466074565990240257,"The emergence of the #Omicron variant has understandably captured global attention. At least 23 countries from five of six WHO regions have now reported cases of Omicron, and we expect that number to grow: WHO chief Tedros Adhanom Ghebreyesu (ANI)",2021-12-01T12:00:00Z
1,1466074542502076419,"#Lockdown not solution for tackling #Omicron , If this time Lockdown come large Small traders,Poor people's,pvt co employees will face serious mental crisis, India urgent need to implement ""One Nation One pandemic Policy"" n its State Govt need to handover Covid Dept to Union Govt https://t.co/z8bCm4kv04 https://t.co/JgtbzN0u71",2021-12-01T12:00:00Z
2,1466074542393237508,@AntiBSAdvocate @carol_hamon @JimmyKimmelLive Your an idiot - listening to people like #kimmel - nearly 100% of #Omicron found in the #vaccinated - vaccinated carry higher #viral loads and are more #virulent - #NIH has admitted to #GOF research - #FauciForPrison lied to Congress,2021-12-01T12:00:00Z
3,1466074520754794496,"""The emergence of the #Omicron variant has understandably captured global attention. 

At least 23 countries from five of six WHO regions have now reported cases of Omicron, and we expect that number to grow."" 

-@WHO chief @DrTedros at a #COVID19 presser today https://t.co/qrZpOhIO7A",2021-12-01T12:00:00Z
4,1466074508993851393,"@Joshua_Ubeku #Messi doesn’t speak English said #Ronaldo fans, but how come he spelt R O N A L D O with his number of #BallonDor  , or y’all want him to spell his last name too 🤣🤣 . @Joshua_Ubeku #Omicron #Wizkid03 @talkfcb_ https://t.co/JLEE2cI9k8",2021-12-01T12:00:00Z
5,1466074485375787010,"'This is not going to be good': Moderna CEO on what scientists are telling him about the omicron coronavirus variant
#Omicron
#covidvariant
#coronavirus https://t.co/nta7dndc7H",2021-12-01T12:00:00Z
6,1466074476928512008,"#princeandrew mentioned 50 times, #pedofile mention 100x #sexual abuse mentioned 100x  #theroyalfamily #omicron @bbc https://t.co/KPb5Ddpe1W",2021-12-01T12:00:00Z
7,1466074447358541825,"By this logic, a fork is more dangerous than a knife 😜😂
#Omicron 
#RTPCR https://t.co/GSgVLfO9nF",2021-12-01T12:00:00Z
8,1466074431239852035,"I bought the $OMIC with 9 ETH.
I don't think it's a good choice, but I'm willing to gamble meme with some money that doesn't affect my life.
Good Luck.

0x39ABe870F44188f66C39EB54eb87eE8f080Bf20E

#Omicron $sand $shib $mcc $kiba $floki $raca #ETH $mask #doge $cro #memecoin $alice",2021-12-01T12:00:00Z
9,1466074411044257799,"Whenever I see this man, automatically I feel respectful for Pakistan PM. He atleast says - Aapne Ghabrana Nahi Hai 😡 #Omicron #OmicronVarient https://t.co/83UrdpRVdL",2021-12-01T12:00:00Z
10,1466074375799644163,Excellent. Can we stop with the scaremongering now and crack on as if we we’re normal? #Omicron https://t.co/jxDx2Z0MAH,2021-12-01T12:00:00Z
11,1466074346749931522,All word IPTV subscription availab@IceIsMyVice #SpotifyWrapped #FNS歌謡祭2021 #GMMTV2022 #FNS歌謡祭 #Öğretmene3BinTLZam #和田アキ子さん_JO1 #カウコン #KinKi #愛のかたまり #KingGnu #AndréMendonça #VOTEWITHLUVARMY #GivingTuesday #SağlıkçınınOyuYok #christianporter #Jenkins #Omicron https://t.co/P6N7YILemr,2021-12-01T12:00:00Z
12,1466074307772272643,"#Omicron #OmicronVariant $OMIC is spreading fast!
😷Be sure to wear a mask when trading on #Uniswap
Contract:
0x39ABe870F44188f66C39EB54eb87eE8f080Bf20E

$cate $sand $shib $elon $floki #dogelon #doge $cro $kiba $gm $mana #DeFi $mask #ETH #Metaverse $mcc $raca $kishu #SHIB $cake",2021-12-01T12:00:00Z
13,1466074306153119748,"South Korea's health authorities confirmed 1st case of the Omicron variant in the country. 
#coronavirus #Omicron #SouthKorea #COVID19",2021-12-01T12:00:00Z
14,1466074284472733704,"#COVID19 continues to spread and evolve - check out our page for more information about the COVID-19 variants

@WHO @CDCgov 
#COVID19 #covidvariant #Omicron #DeltaVariant #science #sciencetwitter 
https://t.co/80LXQfV4Ig",2021-12-01T12:00:00Z
15,1466074231347859458,"""The idea that you can just put a hermetic seal on some countries is not possible,"" @WHO emergency director @DrMikeRyan #Omicron #travel #SouthAfrica #COVID",2021-12-01T12:00:00Z
16,1466074151752450057,Dow jumps 400 points as volatility sparked by omicron variant continues @CNBC #stocks #Dow #markets #Nasdaq $SPX #investing #trading #WallStreet #omicron #volatility  https://t.co/9FUxDqMLxJ,2021-12-01T12:00:00Z
17,1466074129568731142,"I bought the $OMIC with 9 ETH.
I don't think it's a good choice, but I'm willing to gamble meme with some money that doesn't affect my life.
Good Luck.

0x39ABe870F44188f66C39EB54eb87eE8f080Bf20E

#Omicron $sand $shib $mcc $kiba $floki $raca #ETH $mask #doge $cro #memecoin $alice",2021-12-01T12:00:00Z
18,1466074118986481667,"Learning these Greek alphabets, this will help us alot in naming varients.
#Omicron #DeltaVariant #covid #covidindia https://t.co/3leh25q85M",2021-12-01T12:00:00Z
19,1466074112321888266,"It looks like #Omicron causes milder illness – is this how #COVID19 becomes endemic? 
#viraemia #virology #Epidemiology #pandemic #vaccinated #COVID19ireland #globalhealth #VariantOmicron #variants #vaccine #VaccineEquity #WHO 
https://t.co/fNKQxvkx4H via @ConversationEDU",2021-12-01T12:00:00Z
20,1466074107494105092,"#WHO has labeled #Omicron as a #Covid19 variant of concern. As nations close down their borders to contain its spread, experts caution against undue panic while advising strict adherence to pandemic-appropriate behavior. 
'Perspective' 

Watch now: https://t.co/jp85gl5NFp https://t.co/BjE3oUf4DM",2021-12-01T12:00:00Z
21,1466074089840250882,"It seems that #Omicron is a ""sleeper"". Apparently, it is a spin-off the earlier #Alpha strain. Both have dropped the S-gene. It will be a month before concrete evidence about Omicron is known. https://t.co/7FMdKoFDRR",2021-12-01T12:00:00Z
22,1466074055421804551,"Why? This variant is highly transmissable, but not as potent. Symptoms are mild headache, tiredness, scratchy throat, dry cough, body aches. No deaths attributed to it anywhere at all &amp; yet this drastic response. Let calmer heads prevail please.
#Omicron

https://t.co/3zAbUgibr5",2021-12-01T12:00:00Z
23,1466074032055328769,"@swetashandilya @chimnibai @sureshseshadri1 @KishorTrivedi7 @AAshaRathod @shytigress @JaganNKaushik @macharajarao @NetaNiyanta @Ravisha23624235 @prasad_perla @kailashkaushik8 @_ankahi @Savitritvs @Visalmama @FireFly53647402 @Drsunandambal @shitul905 @4mSingh @Bhagirath1965 @witnessconscio1 @panditsripathak @raaga31280 @arunp131 @swetamishraa @Am_dilip1 @sharmajyots @LoveBharatvarsh @nalini51purohit @nair_hena08 @keeranl @ArunDeshpande20 @surewrap @bs_hariharan3 @ResurgentIndia 70% of people of Gujarat are fully vaccinated. 

#Gujarat state administration has been preparing for the third wave as well as the #Omicron threat looming in the #coronavirus #pandemic. 

https://t.co/lXY8njBGuf",2021-12-01T12:00:00Z
24,1466074015664009217,"🔲 The samples of the #COVID19 positive passengers have been sent to INSACOG labs for Whole Genomic Sequencing: Government of India 

#Omicron",2021-12-01T12:00:00Z
25,1466073980020789252,Covid after new variant #Omicron emerges : https://t.co/uWcqQUazJ3,2021-12-01T12:00:00Z
26,1466073955320533000,"I was horny yesterday 🙂

Follow me ..I will follow back.

.will help later 
#friends
#WorldAIDSDay #Crypto #BallonDor #Omicron #Akhanda #LISA #horny #ass #boobs",2021-12-01T12:00:00Z
27,1466073855966035976,"Was it right to keep students and travellers out for more than a year? Beijing says yes, with rise of #Omicron. More details here: https://t.co/uVR3IKfVa7

@TakeUsToChina @takeusbacktoCHN",2021-12-01T12:00:00Z
28,1466073833174028289,"The Hunt For #Coronavirus Variants: How The New One Was Found And What We Know So Far 

#Omicron #covidvariant #COVID19

https://t.co/DDpCaIlaQG",2021-12-01T12:00:00Z
29,1466073798575284224,#Virus update explaining #omicron and #delta #variants with charts. https://t.co/ycjKMCR9fc #salon #jsolomanReports #CBS_Herridge #greggutfeld #StephenKing #jk_rowling #Lawrence #chrishayes #NewDay #USAID #BuckSexton #JoeTalkShow #marklevinshow #SaraCarterDC #RealCandaceO #Velshi,2021-12-01T12:00:00Z
30,1466073797476368399,#WHO expects to have more information on #Omicron transmission 'within days' -- my take from press conf @mvankerkhove  https://t.co/eN72eybw8f,2021-12-01T12:00:00Z
31,1466073788181884936,"As Israel tightens its borders following the rise of the #Omicron variant &amp; continues its national campaign to vaccinate under 10s, JPC speaks to Prof. @RanBalicer Chief Innovation Officer at @ClalitHealth &amp; Chairman of National Covid-19 advisory team&gt;&gt; https://t.co/Gjx8oPGlq3 https://t.co/Al7cx51pY7",2021-12-01T12:00:00Z
32,1466073778937548804,say the word sexual abuse @ #princeandrew appears #theroyalfamily #omicron #GhislaineMaxwellTrial https://t.co/ZuBlEc5vh0,2021-12-01T12:00:00Z
33,1466073774726557703,"""Does a virus know your nationality? Does a virus read your passport?"" 

World Health Organisation's Dr Michael Ryan hits out at #Omicron travel bans - particularly when only locals are allowed in. https://t.co/dJoS5KL2FF",2021-12-01T12:00:00Z
34,1466073769261293583,@sbancel french university in Aix just debunk all your lies about #omicron #modernakillers,2021-12-01T12:00:00Z
35,1466073756846243840,"We have moved the docs to gitbook. The buy links have changed to: https://t.co/mZkuZuISHB
Here you can find step by step on how to buy $OMIC
#Omicron",2021-12-01T12:00:00Z
36,1466073741604106240,"I bought the $OMIC with 9 ETH.
I don't think it's a good choice, but I'm willing to gamble meme with some money that doesn't affect my life.
Good Luck.

0x39ABe870F44188f66C39EB54eb87eE8f080Bf20E

#Omicron $sand $shib $mcc $kiba $floki $raca #ETH $mask #doge $cro #memecoin $alice",2021-12-01T12:00:00Z
37,1466073701301067782,"Here comes #Omicron. We will asked: Do you feel tired? Do you have muscle pain? If another #variant comes, we might be asked: Do you feel anxious? Do you feel irritable? Then goes on and on...Maybe the ultimate questions should be: Do you eat healthy, sleep well, exercise?",2021-12-01T12:00:00Z
38,1466073675145224195,"@SykesCharlie Your circus. Your monkeys. 

#TravelRestrictions #Omicron",2021-12-01T12:00:00Z
